systematic_name	common_name	cds_length	gc_content	status
YAR007C	RFA1	1863	0.3956	Verified
YAR008W	SEN34	825	0.3939	Verified
YAR009C	YAR009C	3588	0.3721	
YAR010C	YAR010C	1320	0.4106	
YAR014C	BUD14	2127	0.4165	Verified
YAR015W	ADE1	918	0.4346	Verified
YAR018C	KIN3	1305	0.3939	Verified
YAR019C	CDC15	2922	0.4014	Verified
YAR019W-A	YAR019W-A	330	0.4455	Dubious
YAR020C	PAU7	165	0.4485	Verified
YAR023C	DFP1	537	0.4022	Uncharacterized
YAR027W	UIP3	705	0.3745	Verified
YAR028W	KTD1	702	0.4145	Uncharacterized
YAR029W	DFP2	222	0.3739	Uncharacterized
YAR030C	YAR030C	339	0.3658	Verified
YAR031W	PRM9	894	0.3881	Verified
YAR033W	MST28	702	0.4117	Verified
YAR035W	YAT1	2061	0.5808	Verified
YAR035C-A	YAR035C-A	78	0.4487	Uncharacterized
YAR042W	SWH1	3564	0.4405	Verified
YAR047C	YAR047C	318	0.3176	Dubious
YAR050W	FLO1	4611	0.4535	Verified
YAR053W	YAR053W	294	0.3231	Dubious
YAR060C	YAR060C	333	0.3874	Dubious
YAR064W	YAR064W	297	0.4815	Uncharacterized
YAR066W	YAR066W	609	0.4713	Uncharacterized
YAR068W	YAR068W	483	0.4741	Uncharacterized
YAR069C	YAR069C	291	0.3918	Dubious
YAR070C	YAR070C	297	0.3939	Dubious
YAR071W	PHO11	1401	0.4226	Verified
YAR073W	IMD1	1209	0.4268	Dubious
YAR075W	YAR075W	471	0.4098	Dubious
YBL113C	YBL113C	2376	0.4689	Uncharacterized
YBL113W-A	YBL113W-A	480	0.45	Dubious
YBL112C	YBL112C	315	0.4286	Uncharacterized
YBL111C	YBL111C	2001	0.4493	Verified
YBL109W	YBL109W	333	0.4625	Dubious
YBL108C-A	PAU9	126	0.4921	Verified
YBL108W	YBL108W	303	0.4224	Dubious
YBL107W-A	YBL107W-A	102	0.2843	Dubious
YBL107C	MIX23	588	0.3741	Verified
YBL106C	SRO77	3030	0.3894	Verified
YBL105C	PKC1	3453	0.3886	Verified
YBL104C	SEA4	3114	0.3905	Verified
YBL103C	RTG3	1458	0.3971	Verified
YBL102W	SFT2	645	0.4481	Verified
YBL101C	ECM21	3351	0.4142	Verified
YBL100W-C	YBL100W-C	117	0.3675	Uncharacterized
YBL100W-A	YBL100W-A	1314	0.3828	
YBL100W-B	YBL100W-B	5310	0.3695	
YBL100C	YBL100C	312	0.4359	Dubious
YBL099W	ATP1	1635	0.4373	Verified
YBL098W	BNA4	1380	0.3862	Verified
YBL097W	BRN1	2262	0.378	Verified
YBL096C	YBL096C	306	0.4477	Dubious
YBL095W	MRX3	810	0.4321	Uncharacterized
YBL094C	YBL094C	330	0.3848	Uncharacterized
YBL093C	ROX3	660	0.4439	Verified
YBL092W	RPL32	390	0.4462	Verified
YBL091C-A	SCS22	525	0.44	Verified
YBL091C	MAP2	1263	0.4339	Verified
YBL090W	MRP21	531	0.3936	Verified
YBL089W	AVT5	1377	0.3878	Verified
YBL088C	TEL1	8361	0.3582	Verified
YBL087C	RPL23A	411	0.472	Verified
YBL086C	YBL086C	1398	0.412	Uncharacterized
YBL085W	BOI1	2940	0.4	Verified
YBL084C	CDC27	2274	0.372	Verified
YBL083C	YBL083C	423	0.461	Verified
YBL082C	ALG3	1374	0.4789	Verified
YBL081W	YBL081W	1104	0.4484	Uncharacterized
YBL080C	PET112	1623	0.4122	Verified
YBL079W	NUP170	4506	0.3733	Verified
YBL078C	ATG8	351	0.3989	Verified
YBL077W	YBL077W	429	0.3543	Verified
YBL076C	ILS1	3216	0.3893	Verified
YBL075C	SSA3	1947	0.416	Verified
YBL074C	AAR2	1065	0.3812	Verified
YBL073W	YBL073W	309	0.4078	Dubious
YBL072C	RPS8A	600	0.4367	Verified
YBL071C-B	YBL071C-B	96	0.3333	Uncharacterized
YBL071W-A	KTI11	246	0.4512	Verified
YBL071C	YBL071C	306	0.3627	Uncharacterized
YBL070C	YBL070C	318	0.3836	Dubious
YBL069W	AST1	1287	0.4064	Verified
YBL068W-A	YBL068W-A	234	0.3889	Dubious
YBL068W	PRS4	978	0.3865	Verified
YBL067C	UBP13	2241	0.3713	Verified
YBL066C	SEF1	3444	0.403	Verified
YBL065W	YBL065W	342	0.386	Verified
YBL064C	PRX1	783	0.4189	Verified
YBL063W	KIP1	3333	0.3618	Verified
YBL062W	YBL062W	378	0.3545	Dubious
YBL061C	SKT5	2088	0.3937	Verified
YBL060W	YEL1	2061	0.3785	Verified
YBL059C-A	CMC2	327	0.3761	Verified
YBL059W	IAI11	579	0.3921	Uncharacterized
YBL058W	SHP1	1269	0.4421	Verified
YBL057C	PTH2	624	0.4295	Verified
YBL056W	PTC3	1404	0.3896	Verified
YBL055C	YBL055C	1254	0.4059	Verified
YBL054W	TOD6	1575	0.4159	Verified
YBL053W	YBL053W	372	0.3763	Dubious
YBL052C	SAS3	2493	0.355	Verified
YBL051C	PIN4	2004	0.3912	Verified
YBL050W	SEC17	876	0.3995	Verified
YBL049W	MOH1	414	0.3913	Verified
YBL048W	RRT1	309	0.3107	Uncharacterized
YBL047C	EDE1	4143	0.4135	Verified
YBL046W	PSY4	1323	0.4082	Verified
YBL045C	COR1	1371	0.4216	Verified
YBL044W	YBL044W	366	0.4754	Uncharacterized
YBL043W	ECM13	771	0.4332	Verified
YBL042C	FUI1	1917	0.4184	Verified
YBL041W	PRE7	723	0.4163	Verified
YBL040C	ERD2	657	0.3638	Verified
YBL039W-B	MIN6	177	0.3446	Uncharacterized
YBL039C	URA7	1737	0.4024	Verified
YBL039C-A	YBL039C-A	81	0.4321	Verified
YBL038W	MRPL16	696	0.3966	Verified
YBL037W	APL3	3075	0.3763	Verified
YBL036C	YBL036C	771	0.3696	Verified
YBL035C	POL12	2115	0.3943	Verified
YBL034C	STU1	4539	0.3536	Verified
YBL033C	RIB1	1035	0.4812	Verified
YBL032W	HEK2	1143	0.4628	Verified
YBL031W	SHE1	1014	0.3984	Verified
YBL030C	PET9	954	0.4308	Verified
YBL029C-A	YBL029C-A	282	0.4007	Verified
YBL029W	YBL029W	1128	0.3803	Uncharacterized
YBL028C	YBL028C	318	0.3679	Verified
YBL027W	RPL19B	567	0.4462	Verified
YBL026W	LSM2	285	0.3474	Verified
YBL025W	RRN10	435	0.4023	Verified
YBL024W	NCL1	2052	0.3869	Verified
YBL023C	MCM2	2604	0.4005	Verified
YBL022C	PIM1	3399	0.4072	Verified
YBL021C	HAP3	432	0.4815	Verified
YBL020W	RFT1	1722	0.3833	Verified
YBL019W	APN2	1560	0.375	Verified
YBL018C	POP8	399	0.3709	Verified
YBL017C	PEP1	4737	0.3897	Verified
YBL016W	FUS3	1059	0.458	Verified
YBL015W	ACH1	1578	0.4601	Verified
YBL014C	RRN6	2682	0.393	Verified
YBL013W	FMT1	1203	0.4921	Verified
YBL012C	YBL012C	399	0.4486	Dubious
YBL011W	SCT1	2277	0.4304	Verified
YBL010C	LAA2	840	0.3821	Verified
YBL009W	ALK2	2028	0.3812	Verified
YBL008W-A	YBL008W-A	237	0.3376	Uncharacterized
YBL008W	HIR1	2520	0.396	Verified
YBL007C	SLA1	3732	0.4335	Verified
YBL006C	LDB7	540	0.487	Verified
YBL006W-A	YBL006W-A	147	0.5034	Verified
YBL005W	PDR3	2928	0.3603	Verified
YBL005W-A	YBL005W-A	1320	0.4106	
YBL005W-B	YBL005W-B	5265	0.3835	
YBL004W	UTP20	7479	0.3551	Verified
YBL003C	HTA2	396	0.4141	Verified
YBL002W	HTB2	393	0.4198	Verified
YBL001C	ECM15	312	0.3942	Verified
YBR001C	NTH2	2340	0.3936	Verified
YBR002C	RER2	858	0.4231	Verified
YBR003W	COQ1	1419	0.4059	Verified
YBR004C	GPI18	1299	0.3426	Verified
YBR005W	RCR1	639	0.4695	Verified
YBR006W	UGA2	1491	0.4085	Verified
YBR007C	DSF2	2208	0.3854	Verified
YBR008C	FLR1	1644	0.4124	Verified
YBR009C	HHF1	309	0.4304	Verified
YBR010W	HHT1	408	0.4338	Verified
YBR011C	IPP1	861	0.4274	Verified
YBR012C	YBR012C	417	0.3381	Dubious
YBR012W-A	YBR012W-A	1320	0.4098	
YBR012W-B	YBR012W-B	5268	0.3833	
YBR013C	YBR013C	387	0.3307	Uncharacterized
YBR014C	GRX7	609	0.3908	Verified
YBR015C	MNN2	1791	0.4171	Verified
YBR016W	CPP1	384	0.5104	Verified
YBR017C	KAP104	2754	0.39	Verified
YBR018C	GAL7	1098	0.3843	Verified
YBR019C	GAL10	2097	0.402	Verified
YBR020W	GAL1	1584	0.4154	Verified
YBR021W	FUR4	1899	0.3997	Verified
YBR022W	POA1	531	0.3823	Verified
YBR023C	CHS3	3495	0.3917	Verified
YBR024W	SCO2	903	0.3998	Verified
YBR025C	OLA1	1182	0.3959	Verified
YBR026C	ETR1	1140	0.3877	Verified
YBR027C	YBR027C	330	0.3455	Uncharacterized
YBR028C	YPK3	1575	0.3822	Verified
YBR029C	CDS1	1371	0.3851	Verified
YBR030W	RKM3	1656	0.4052	Verified
YBR031W	RPL4A	1086	0.4825	Verified
YBR032W	YBR032W	300	0.4367	Uncharacterized
YBR033W	EDS1	2757	0.387	Uncharacterized
YBR034C	HMT1	1044	0.4071	Verified
YBR035C	PDX3	684	0.4342	Verified
YBR036C	CSG2	1230	0.4341	Verified
YBR037C	SCO1	885	0.4508	Verified
YBR038W	CHS2	2889	0.4036	Verified
YBR039W	ATP3	933	0.3912	Verified
YBR040W	FIG1	894	0.349	Verified
YBR041W	FAT1	2007	0.3772	Verified
YBR042C	CST26	1191	0.3711	Verified
YBR043C	QDR3	2067	0.4098	Verified
YBR044C	TCM62	1716	0.391	Verified
YBR045C	GIP1	1917	0.3652	Verified
YBR046C	ZTA1	1002	0.3902	Verified
YBR047W	FMP23	525	0.3676	Uncharacterized
YBR048W	RPS11B	468	0.4402	Verified
YBR049C	REB1	2430	0.3877	Verified
YBR050C	REG2	1014	0.3925	Verified
YBR051W	YBR051W	348	0.3736	Dubious
YBR052C	RFS1	630	0.4444	Verified
YBR053C	YBR053C	1074	0.3901	Uncharacterized
YBR054W	YRO2	1032	0.4079	Verified
YBR055C	PRP6	2697	0.3734	Verified
YBR056W	MRX18	1503	0.3839	Verified
YBR056W-A	MNC1	198	0.4343	Uncharacterized
YBR056C-B	YBR056C-B	156	0.4551	Dubious
YBR057C	MUM2	1098	0.3843	Verified
YBR058C	UBP14	2343	0.3786	Verified
YBR058C-A	TSC3	240	0.35	Verified
YBR059C	AKL1	3324	0.4034	Verified
YBR060C	ORC2	1860	0.3866	Verified
YBR061C	TRM7	930	0.4043	Verified
YBR062C	YBR062C	540	0.4019	Uncharacterized
YBR063C	CNM1	1212	0.3523	Verified
YBR064W	YBR064W	426	0.331	Uncharacterized
YBR065C	ECM2	1092	0.3727	Verified
YBR066C	NRG2	660	0.3803	Verified
YBR067C	TIP1	630	0.4794	Verified
YBR068C	BAP2	1827	0.4028	Verified
YBR069C	TAT1	1857	0.4184	Verified
YBR070C	ALG14	711	0.3952	Verified
YBR071W	YBR071W	633	0.436	Verified
YBR072W	HSP26	642	0.4268	Verified
YBR072C-A	YBR072C-A	159	0.3899	Uncharacterized
YBR073W	RDH54	2874	0.3807	Verified
YBR074W	PFF1	2928	0.3791	Verified
YBR076W	ECM8	1062	0.3691	Verified
YBR076C-A	YBR076C-A	264	0.4053	Verified
YBR077C	SLM4	486	0.3909	Verified
YBR078W	ECM33	1287	0.4211	Verified
YBR079C	RPG1	2892	0.4049	Verified
YBR080C	SEC18	2274	0.3848	Verified
YBR081C	SPT7	3996	0.3671	Verified
YBR082C	UBC4	444	0.4369	Verified
YBR083W	TEC1	1458	0.4047	Verified
YBR084W	MIS1	2925	0.4164	Verified
YBR084C-A	RPL19A	567	0.4409	Verified
YBR085W	AAC3	921	0.405	Verified
YBR085C-A	YBR085C-A	255	0.4118	Verified
YBR086C	IST2	2838	0.3802	Verified
YBR087W	RFC5	1062	0.3719	Verified
YBR088C	POL30	774	0.385	Verified
YBR089W	YBR089W	597	0.3735	Verified
YBR089C-A	NHP6B	297	0.4478	Verified
YBR090C	YBR090C	366	0.4454	Uncharacterized
YBR091C	TIM12	327	0.4465	Verified
YBR092C	PHO3	1401	0.4304	Verified
YBR093C	PHO5	1401	0.424	Verified
YBR094W	PBY1	2259	0.3745	Verified
YBR095C	RXT2	1290	0.3783	Verified
YBR096W	YBR096W	690	0.3754	Uncharacterized
YBR097W	VPS15	4362	0.3473	Verified
YBR098W	MMS4	2073	0.3661	Verified
YBR099C	YBR099C	381	0.3202	Verified
YBR101C	FES1	870	0.3816	Verified
YBR102C	EXO84	2259	0.3803	Verified
YBR103W	SIF2	1605	0.4075	Verified
YBR103C-A	YBR103C-A	141	0.3759	Dubious
YBR104W	YMC2	987	0.4144	Verified
YBR105C	VID24	1086	0.4236	Verified
YBR106W	SND3	564	0.4344	Verified
YBR107C	IML3	735	0.4218	Verified
YBR108W	AIM3	2841	0.4629	Verified
YBR109C	CMD1	441	0.39	Verified
YBR109W-A	YBR109W-A	222	0.3829	Dubious
YBR110W	ALG1	1347	0.363	Verified
YBR111C	YSA1	693	0.4069	Verified
YBR111W-A	SUS1	288	0.3438	Verified
YBR112C	CYC8	2898	0.4382	Verified
YBR113W	YBR113W	480	0.4188	Verified
YBR114W	RAD16	2370	0.4013	Verified
YBR115C	LYS2	4176	0.4001	Verified
YBR116C	YBR116C	525	0.3962	Verified
YBR117C	TKL2	2043	0.4498	Verified
YBR118W	TEF2	1374	0.4469	Verified
YBR119W	MUD1	894	0.3803	Verified
YBR120C	CBP6	486	0.3477	Verified
YBR121C	GRS1	2001	0.3933	Verified
YBR121C-A	YBR121C-A	156	0.3718	Verified
YBR122C	MRPL36	531	0.3992	Verified
YBR123C	TFC1	1947	0.3857	Verified
YBR124W	YBR124W	357	0.4034	Dubious
YBR125C	PTC4	1179	0.4063	Verified
YBR126C	TPS1	1485	0.4525	Verified
YBR126W-A	MEO1	204	0.5	Verified
YBR126W-B	YBR126W-B	141	0.5248	Dubious
YBR127C	VMA2	1551	0.4242	Verified
YBR128C	ATG14	1032	0.3808	Verified
YBR129C	OPY1	984	0.375	Verified
YBR130C	SHE3	1275	0.36	Verified
YBR131W	CCZ1	2112	0.3764	Verified
YBR131C-A	YBR131C-A	87	0.3333	Verified
YBR132C	AGP2	1788	0.4066	Verified
YBR133C	HSL7	2481	0.4075	Verified
YBR134W	YBR134W	399	0.3759	Dubious
YBR135W	CKS1	450	0.48	Verified
YBR136W	MEC1	7104	0.3639	Verified
YBR137W	YBR137W	537	0.3948	Verified
YBR138C	YBR138C	1572	0.3543	Uncharacterized
YBR139W	ATG42	1524	0.4055	Verified
YBR140C	IRA1	9276	0.362	Verified
YBR141C	BMT2	1011	0.4055	Verified
YBR141W-A	YBR141W-A	93	0.4731	Uncharacterized
YBR142W	MAK5	2319	0.3713	Verified
YBR143C	SUP45	1311	0.3699	Verified
YBR144C	YBR144C	312	0.3942	Uncharacterized
YBR145W	ADH5	1053	0.4264	Verified
YBR146W	MRPS9	834	0.3885	Verified
YBR147W	RTC2	888	0.3727	Verified
YBR148W	YSW1	1827	0.3552	Verified
YBR149W	ARA1	1032	0.4157	Verified
YBR150C	TBS1	3282	0.3605	Verified
YBR151W	APD1	948	0.4008	Verified
YBR152W	SPP381	873	0.3952	Verified
YBR153W	RIB7	732	0.4126	Verified
YBR154C	RPB5	645	0.3736	Verified
YBR155W	CNS1	1155	0.3887	Verified
YBR156C	SLI15	2094	0.3734	Verified
YBR157C	ICS2	765	0.3882	Verified
YBR158W	AMN1	1647	0.3807	Verified
YBR159W	IFA38	1041	0.3804	Verified
YBR160W	CDC28	894	0.4128	Verified
YBR161W	CSH1	1128	0.3821	Verified
YBR162C	TOS1	1365	0.4352	Verified
YBR162W-A	YSY6	195	0.4051	Verified
YBR163W	EXO5	1755	0.3613	Verified
YBR164C	ARL1	549	0.3843	Verified
YBR165W	UBS1	831	0.3779	Verified
YBR166C	TYR1	1356	0.3739	Verified
YBR167C	POP7	420	0.3643	Verified
YBR168W	PEX32	1239	0.3551	Verified
YBR169C	SSE2	2079	0.4069	Verified
YBR170C	NPL4	1740	0.3994	Verified
YBR171W	SEC66	618	0.3608	Verified
YBR172C	SMY2	2220	0.4041	Verified
YBR173C	UMP1	444	0.4459	Verified
YBR174C	YBR174C	312	0.4231	Verified
YBR175W	SWD3	945	0.4275	Verified
YBR176W	ECM31	936	0.3985	Verified
YBR177C	EHT1	1353	0.4124	Verified
YBR178W	YBR178W	372	0.3737	Verified
YBR179C	FZO1	2565	0.3684	Verified
YBR180W	DTR1	1716	0.3957	Verified
YBR181C	RPS6B	708	0.4322	Verified
YBR182C	SMP1	1356	0.4167	Verified
YBR182C-A	YBR182C-A	192	0.3594	Uncharacterized
YBR183W	YPC1	948	0.4114	Verified
YBR184W	YBR184W	1569	0.3486	Uncharacterized
YBR185C	MBA1	834	0.3765	Verified
YBR186W	PCH2	1692	0.3771	Verified
YBR187W	GDT1	840	0.4238	Verified
YBR188C	NTC20	420	0.4024	Verified
YBR189W	RPS9B	585	0.4308	Verified
YBR190W	YBR190W	309	0.4725	Verified
YBR191W	RPL21A	480	0.4208	Verified
YBR191W-A	YBR191W-A	72	0.2083	Dubious
YBR192W	RIM2	1131	0.3882	Verified
YBR193C	MED8	669	0.4215	Verified
YBR194W	AIM4	369	0.3957	Verified
YBR195C	MSI1	1266	0.4163	Verified
YBR196C	PGI1	1662	0.4332	Verified
YBR196C-A	YBR196C-A	147	0.3265	Uncharacterized
YBR196C-B	YBR196C-B	102	0.402	Uncharacterized
YBR197C	YBR197C	651	0.4716	Verified
YBR198C	TAF5	2394	0.406	Verified
YBR199W	KTR4	1392	0.3843	Verified
YBR200W	BEM1	1653	0.3842	Verified
YBR200W-A	YBR200W-A	162	0.4198	Uncharacterized
YBR201W	DER1	633	0.3839	Verified
YBR201C-A	MIN7	201	0.4179	Uncharacterized
YBR202W	MCM7	2535	0.4107	Verified
YBR203W	COS111	2772	0.3871	Verified
YBR204C	LDH1	1125	0.3902	Verified
YBR205W	KTR3	1212	0.4076	Verified
YBR206W	YBR206W	321	0.4174	Verified
YBR207W	FTH1	1395	0.4093	Verified
YBR208C	DUR12	5505	0.4082	Verified
YBR209W	YBR209W	315	0.4222	Uncharacterized
YBR210W	ERV15	426	0.3615	Verified
YBR211C	AME1	972	0.3673	Verified
YBR212W	NGR1	2016	0.4182	Verified
YBR213W	MET8	822	0.4769	Verified
YBR214W	SDS24	1581	0.456	Verified
YBR215W	HPC2	1875	0.3744	Verified
YBR216C	YBP1	2022	0.3581	Verified
YBR217W	ATG12	558	0.3656	Verified
YBR218C	PYC2	3540	0.4333	Verified
YBR219C	YBR219C	381	0.4173	Uncharacterized
YBR220C	YBR220C	1680	0.431	Uncharacterized
YBR221C	PDB1	1098	0.4326	Verified
YBR221W-A	YBR221W-A	102	0.4412	Uncharacterized
YBR222C	PCS60	1629	0.4451	Verified
YBR223C	TDP1	1632	0.4289	Verified
YBR223W-A	YBR223W-A	117	0.5641	Dubious
YBR224W	YBR224W	513	0.3918	Verified
YBR225W	YBR225W	2700	0.3885	Uncharacterized
YBR226C	YBR226C	408	0.3431	Uncharacterized
YBR227C	MCX1	1560	0.3788	Verified
YBR228W	SLX1	912	0.3849	Verified
YBR229C	ROT2	2862	0.3896	Verified
YBR230C	OM14	402	0.4478	Verified
YBR230W-A	COQ21	198	0.5303	Verified
YBR231C	SWC5	909	0.4906	Verified
YBR232C	YBR232C	357	0.4454	Dubious
YBR233W	PBP2	1239	0.4157	Verified
YBR233W-A	DAD3	282	0.3901	Verified
YBR234C	ARC40	1152	0.4219	Verified
YBR235W	VHC1	3360	0.4009	Verified
YBR236C	ABD1	1308	0.3876	Verified
YBR237W	PRP5	2547	0.3812	Verified
YBR238C	YBR238C	2193	0.3835	Verified
YBR239C	ERT1	1587	0.4197	Verified
YBR240C	THI2	1350	0.4459	Verified
YBR241C	VVS1	1464	0.5068	Verified
YBR242W	YBR242W	714	0.4104	Verified
YBR243C	ALG7	1344	0.407	Verified
YBR244W	GPX2	486	0.3724	Verified
YBR245C	ISW1	3387	0.3779	Verified
YBR246W	RRT2	1161	0.3997	Verified
YBR247C	ENP1	1449	0.3975	Verified
YBR248C	HIS7	1656	0.4149	Verified
YBR249C	ARO4	1110	0.4378	Verified
YBR250W	SPO23	1569	0.3512	Verified
YBR251W	MRPS5	921	0.4072	Verified
YBR252W	DUT1	441	0.4762	Verified
YBR253W	SRB6	363	0.4242	Verified
YBR254C	TRS20	525	0.3962	Verified
YBR255W	MTC4	2082	0.3866	Verified
YBR255C-A	RCF3	360	0.4028	Uncharacterized
YBR256C	RIB5	714	0.3866	Verified
YBR257W	POP4	837	0.3465	Verified
YBR258C	SHG1	426	0.3685	Verified
YBR259W	YBR259W	2064	0.3542	Verified
YBR260C	RGD1	1998	0.3984	Verified
YBR261C	TAE1	696	0.4871	Verified
YBR262C	MIC12	318	0.4591	Verified
YBR263W	SHM1	1470	0.4476	Verified
YBR264C	YPT10	597	0.4322	Verified
YBR265W	TSC10	960	0.4542	Verified
YBR267W	REI1	1179	0.447	Verified
YBR266C	SLM6	450	0.4133	Verified
YBR268W	MRPL37	315	0.4667	Verified
YBR269C	SDH8	414	0.4807	Verified
YBR270C	BIT2	1635	0.4104	Verified
YBR271W	EFM2	1257	0.3946	Verified
YBR272C	HSM3	1440	0.3674	Verified
YBR273C	UBX7	1308	0.4304	Verified
YBR274W	CHK1	1581	0.3776	Verified
YBR275C	RIF1	5748	0.3624	Verified
YBR276C	PPS1	2421	0.3821	Verified
YBR277C	YBR277C	399	0.391	Verified
YBR278W	DPB3	603	0.4146	Verified
YBR279W	PAF1	1335	0.3895	Verified
YBR280C	SAF1	1911	0.4165	Verified
YBR281C	DUG2	2634	0.3732	Verified
YBR282W	MRPL27	438	0.4018	Verified
YBR283C	SSH1	1470	0.3871	Verified
YBR284W	YBR284W	2391	0.3885	Uncharacterized
YBR285W	HAB1	432	0.375	Verified
YBR286W	APE3	1611	0.4283	Verified
YBR287W	YBR287W	1281	0.4005	Uncharacterized
YBR288C	APM3	1449	0.3575	Verified
YBR289W	SNF5	2715	0.4239	Verified
YBR290W	BSD2	963	0.3863	Verified
YBR291C	CTP1	897	0.4181	Verified
YBR292C	YBR292C	369	0.3279	Uncharacterized
YBR293W	VBA2	1422	0.3797	Verified
YBR294W	SUL1	2577	0.3989	Verified
YBR295W	PCA1	3648	0.4153	Verified
YBR296C	PHO89	1722	0.4082	Verified
YBR296C-A	TYC1	117	0.3761	Verified
YBR297W	MAL33	1404	0.3875	Verified
YBR298C	MAL31	1842	0.4083	Verified
YBR298C-A	YBR298C-A	219	0.411	Uncharacterized
YBR299W	MAL32	1752	0.4041	Verified
YBR300C	YBR300C	495	0.4182	Verified
YBR301W	PAU24	360	0.4917	Verified
YBR302C	COS2	1137	0.3764	Verified
YCL076W	YCL076W	741	0.3873	Dubious
YCL075W	YCL075W	438	0.4201	
YCL074W	YCL074W	924	0.4372	
YCL073C	GEX1	1845	0.4043	Verified
YCL069W	VBA3	1374	0.3937	Verified
YCL068C	YCL068C	780	0.4359	Uncharacterized
YCL067C	HMLALPHA2	630	0.3508	Verified
YCL066W	HMLALPHA1	525	0.379	Verified
YCL065W	YCL065W	366	0.3525	Dubious
YCL064C	CHA1	1080	0.3935	Verified
YCL063W	VAC17	1269	0.4027	Verified
YCL061C	MRC1	3288	0.3771	Verified
