systematic_name	common_name	ensembl_transcript	refseq_transcript	entrez_id	cds_length	gc_content
ENSG00000187175	KRTAP12-1	ENST00000391617.1	NM_181686.2	353332	288	0.6736
ENSG00000184221	OLIG1	ENST00000382348.2	NM_138983.3	116448	813	0.7466
ENSG00000166351	POTED	ENST00000299443.6	NM_174981.6	317754	1752	0.4349
ENSG00000177398	UMODL1	ENST00000408910.7	NM_001004416.3	89766	3954	0.5837
ENSG00000183640	KRTAP8-1	ENST00000329621.6	NM_175857.4	337879	189	0.582
ENSG00000274749	KRTAP7-1	ENST00000621162.1	NM_181606.3	337878	261	0.5479
ENSG00000182591	KRTAP11-1	ENST00000332378.6	NM_175858.3	337880	489	0.5726
ENSG00000206102	KRTAP19-8	ENST00000382822.2	NM_001099219.1	728299	189	0.5397
ENSG00000233056	ERVH48-1	ENST00000447535.2	NM_001308491.2	90625	480	0.4375
ENSG00000188992	LIPI	ENST00000681601.1	NM_001302998.2	149998	1380	0.3659
ENSG00000221837	KRTAP10-9	ENST00000397911.5	NM_198690.3	386676	876	0.6598
ENSG00000215454	KRTAP10-4	ENST00000400374.4	NM_198687.2	386672	1203	0.655
ENSG00000183067	IGSF5	ENST00000380588.5	NM_001080444.2	150084	1221	0.5111
ENSG00000160294	MCM3AP	ENST00000291688.6	NM_003906.5	8888	5940	0.5337
ENSG00000292251	GPATCH4	ENST00000710324.2	NM_001396855.1	54865	1338	0.5142
ENSG00000204899	MZT1	ENST00000377818.4	NM_001071775.3	440145	246	0.5041
ENSG00000165837	ERICH6B	ENST00000298738.3	NM_182542.3	220081	2088	0.4435
ENSG00000150361	KLHL1	ENST00000377844.9	NM_020866.3	57626	2244	0.4737
ENSG00000182670	TTC3	ENST00000418766.6	NM_001330683.2	7267	6075	0.4084
ENSG00000150893	FREM2	ENST00000280481.9	NM_207361.6	341640	9507	0.5054
ENSG00000204918	PRR20B	ENST00000377930.1	NM_001130404.1	729233	663	0.6456
ENSG00000227151	PRR20D	ENST00000452123.3	NM_001130406.1	729246	663	0.6456
ENSG00000234278	PRR20E	ENST00000434815.1	NM_001130407.1	729250	663	0.6456
ENSG00000174015	CBY2	ENST00000310521.6	NM_152719.3	220082	1344	0.6339
ENSG00000291827	TCEAL6	ENST00000708883.3	NM_001367790.1	158931	600	0.5367
ENSG00000152192	POU4F1	ENST00000377208.7	NM_006237.4	5457	1257	0.7216
ENSG00000188811	NHLRC3	ENST00000379600.8	NM_001012754.4	387921	1041	0.4323
ENSG00000102837	OLFM4	ENST00000219022.3	NM_006418.5	10562	1530	0.4627
ENSG00000204919	PRR20A	ENST00000377931.1	NM_198441.2	122183	663	0.6456
ENSG00000139734	DIAPH3	ENST00000400324.9	NM_001042517.2	81624	3579	0.4186
ENSG00000197683	KRTAP26-1	ENST00000360542.5	NM_203405.2	388818	630	0.5508
ENSG00000206107	KRTAP27-1	ENST00000382835.2	NM_001077711.1	643812	621	0.4847
ENSG00000182816	KRTAP13-2	ENST00000399889.4	NM_181621.4	337959	525	0.579
ENSG00000198390	KRTAP13-1	ENST00000355459.4	NM_181599.3	140258	516	0.5853
ENSG00000186970	KRTAP15-1	ENST00000334067.5	NM_181623.3	254950	411	0.4866
ENSG00000184351	KRTAP19-1	ENST00000390689.3	NM_181607.3	337882	270	0.563
ENSG00000186965	KRTAP19-2	ENST00000334055.5	NM_181608.2	337969	156	0.5321
ENSG00000244025	KRTAP19-3	ENST00000334063.6	NM_181609.4	337970	243	0.5514
ENSG00000186967	KRTAP19-4	ENST00000334058.3	NM_181610.3	337971	252	0.4881
ENSG00000186977	KRTAP19-5	ENST00000334151.3	NM_181611.3	337972	216	0.5602
ENSG00000186925	KRTAP19-6	ENST00000334046.5	NM_181612.3	337973	174	0.5287
ENSG00000244362	KRTAP19-7	ENST00000334849.2	NM_181614.3	337974	189	0.5608
ENSG00000206106	KRTAP22-2	ENST00000382830.2	NM_001164434.1	100288287	135	0.437
ENSG00000186924	KRTAP22-1	ENST00000334680.3	NM_181620.2	337979	144	0.5208
ENSG00000244624	KRTAP20-1	ENST00000334664.3	NM_181615.2	337975	168	0.4583
ENSG00000206105	KRTAP20-4	ENST00000382828.2	NM_001350977.1	100151643	132	0.5758
ENSG00000184032	KRTAP20-2	ENST00000330798.3	NM_181616.3	337976	195	0.559
ENSG00000206104	KRTAP20-3	ENST00000382826.2	NM_001128077.1	337985	132	0.4697
ENSG00000231068	KRTAP21-3	ENST00000444335.1	NM_001164435.1	100288323	174	0.3678
ENSG00000187026	KRTAP21-2	ENST00000333892.3	NM_181617.3	337978	249	0.5301
ENSG00000187005	KRTAP21-1	ENST00000335093.5	NM_181619.2	337977	237	0.5443
ENSG00000186980	KRTAP23-1	ENST00000334160.6	NM_181624.1	337963	195	0.5692
ENSG00000240432	KRTAP13-3	ENST00000390690.3	NM_181622.2	337960	516	0.5252
ENSG00000291895	PNLIPRP2	ENST00000709157.1	NM_005396.5	5408	1407	0.489
ENSG00000186971	KRTAP13-4	ENST00000334068.4	NM_181600.3	284827	480	0.5583
ENSG00000186930	KRTAP6-2	ENST00000334897.4	NM_181604.2	337967	186	0.5645
ENSG00000184724	KRTAP6-1	ENST00000329122.2	NM_181602.2	337966	213	0.5869
ENSG00000160299	PCNT	ENST00000359568.10	NM_006031.6	5116	10008	0.5634
ENSG00000292245	OR52E1	ENST00000710310.1	NM_001348221.2	79296	924	0.4416
ENSG00000291888	VN1R5	ENST00000713554.1	NM_173858.1	317705	1071	0.4248
ENSG00000159140	SON	ENST00000356577.10	NM_138927.4	6651	7278	0.4827
ENSG00000118946	PCDH17	ENST00000377918.8	NM_001040429.3	27253	3477	0.5882
ENSG00000292258	OR4Q2	ENST00000710368.2	NM_001348271.2	390432	939	0.4483
ENSG00000291780	OR11H7	ENST00000708727.2	NM_001348273.1	390441	942	0.4554
ENSG00000292247	OR10J4	ENST00000710315.1	NM_001348286.3	391121	933	0.463
ENSG00000136141	LRCH1	ENST00000389797.8	NM_001164211.2	23143	2289	0.4902
ENSG00000291925	CD300H	ENST00000709217.2	NM_001324073.3	100130520	603	0.5622
ENSG00000292244	NKRF	ENST00000710306.2	NM_001417890.1	55922	2352	0.4617
ENSG00000291927	GBA3	ENST00000709220.2	NM_020973.5	57733	1407	0.435
ENSG00000229665	PRR20C	ENST00000544357.2	NM_001130405.1	729240	663	0.6456
ENSG00000184564	SLITRK6	ENST00000647374.2	NM_032229.3	84189	2523	0.3975
ENSG00000182968	SOX1	ENST00000330949.3	NM_005986.3	6656	1173	0.7656
ENSG00000041515	MYO16	ENST00000457511.7	NM_001198950.3	23026	5640	0.5154
ENSG00000292250	IFNL4	ENST00000710321.1	NM_001276254.2	101180976	537	0.7318
ENSG00000180530	NRIP1	ENST00000318948.7	NM_003489.4	8204	3474	0.4206
ENSG00000159200	RCAN1	ENST00000313806.9	NM_004414.7	1827	756	0.5833
ENSG00000185950	IRS2	ENST00000375856.5	NM_003749.3	8660	4014	0.727
ENSG00000153498	SPACA7	ENST00000283550.8	NM_145248.5	122258	585	0.4308
ENSG00000204442	NALF1	ENST00000375915.4	NM_001080396.3	728215	1374	0.5611
ENSG00000185974	GRK1	ENST00000335678.7	NM_002929.3	6011	1689	0.5938
ENSG00000122042	UBL3	ENST00000380680.5	NM_007106.4	5412	351	0.416
ENSG00000171189	GRIK1	ENST00000327783.9	NM_001330994.2	2897	2847	0.4643
ENSG00000179813	FAM216B	ENST00000313851.3	NM_001318932.2	144809	417	0.4772
ENSG00000198553	KCNRG	ENST00000312942.2	NM_173605.2	283518	816	0.4191
ENSG00000189169	KRTAP10-12	ENST00000400365.3	NM_198699.1	386685	735	0.6721
ENSG00000150510	FAM124A	ENST00000322475.13	NM_001242312.2	220108	1638	0.6245
ENSG00000286224	LOC128092249	ENST00000652508.1	NM_001414902.1	128092249	201	0.4776
ENSG00000189167	ZAR1L	ENST00000533490.7	NM_001136571.2	646799	963	0.5826
ENSG00000180138	CSNK1A1L	ENST00000379800.4	NM_145203.6	122011	1011	0.4609
ENSG00000243927	MRPS6	ENST00000399312.3	NM_032476.4	64968	375	0.488
ENSG00000133111	RFXAP	ENST00000255476.3	NM_000538.4	5994	816	0.6017
ENSG00000215475	SIAH3	ENST00000400405.4	NM_198849.3	283514	807	0.6059
ENSG00000198743	SLC5A3	ENST00000381151.5	NM_006933.7	6526	2154	0.4684
ENSG00000175820	LRTM3	ENST00000322527.4	NM_001146197.3	643677	21243	0.3823
ENSG00000159197	KCNE2	ENST00000290310.4	NM_172201.2	9992	369	0.4634
ENSG00000178235	SLITRK1	ENST00000674365.1	NM_001281503.2	114798	2088	0.5187
ENSG00000165572	KBTBD6	ENST00000379485.2	NM_152903.5	89890	2022	0.5227
ENSG00000120696	KBTBD7	ENST00000379483.4	NM_032138.7	84078	2052	0.518
ENSG00000166265	CYYR1	ENST00000652641.2	NM_001320768.2	116159	465	0.5398
ENSG00000125249	RAP2A	ENST00000245304.5	NM_021033.7	5911	549	0.5537
ENSG00000160202	CRYAA	ENST00000291554.6	NM_000394.4	1409	519	0.6281
ENSG00000180730	SHISA2	ENST00000319420.4	NM_001007538.2	387914	885	0.6486
ENSG00000133105	RXFP2	ENST00000298386.7	NM_130806.5	122042	2262	0.3921
ENSG00000073910	FRY	ENST00000542859.6	NM_023037.3	10129	9039	0.4768
ENSG00000253797	UTP14C	ENST00000521776.2	NM_021645.6	9724	2298	0.4787
ENSG00000123171	CCDC70	ENST00000242819.7	NM_031290.4	83446	666	0.524
ENSG00000125245	GPR18	ENST00000397470.5	NM_001098200.2	2841	993	0.434
ENSG00000102524	TNFSF13B	ENST00000375887.9	NM_006573.5	10673	855	0.4807
ENSG00000132932	ATP8A2	ENST00000381655.7	NM_016529.6	51761	3564	0.4801
ENSG00000151835	SACS	ENST00000382292.9	NM_014363.6	26278	13737	0.39
ENSG00000231824	AKAIN1	ENST00000434239.4	NM_001145194.2	642597	207	0.5169
ENSG00000132874	SLC14A2	ENST00000255226.11	NM_007163.4	8170	2760	0.5529
ENSG00000178695	KCTD12	ENST00000377474.4	NM_138444.4	115207	975	0.6964
ENSG00000102805	CLN5	ENST00000377453.9	NM_006493.4	1203	1074	0.4413
ENSG00000212710	CTAGE1	ENST00000391403.4	NM_172241.3	64693	2235	0.4031
ENSG00000134489	HRH4	ENST00000256906.5	NM_021624.4	59340	1170	0.4068
ENSG00000253309	SERPINE3	ENST00000681248.1	NM_001386375.1	647174	1212	0.5347
ENSG00000177511	ST8SIA3	ENST00000324000.4	NM_015879.3	51046	1140	0.4465
ENSG00000139780	METTL21C	ENST00000267273.7	NM_001010977.3	196541	792	0.4785
ENSG00000125255	SLC10A2	ENST00000245312.5	NM_000452.3	6555	1044	0.4828
ENSG00000228075	BOD1L2	ENST00000585477.2	NM_001257964.2	284257	516	0.593
ENSG00000139675	HNRNPA1L2	ENST00000357495.5	NM_001389320.1	144983	960	0.4719
ENSG00000182346	DAOA	ENST00000375936.9	NM_172370.5	267012	459	0.4401
ENSG00000081138	CDH7	ENST00000397968.4	NM_004361.5	1005	2355	0.4684
ENSG00000043355	ZIC2	ENST00000376335.8	NM_007129.5	7546	1596	0.6974
ENSG00000139800	ZIC5	ENST00000267294.5	NM_033132.5	85416	1917	0.699
ENSG00000169840	GSX1	ENST00000302945.3	NM_145657.3	219409	792	0.6768
ENSG00000166603	MC4R	ENST00000299766.5	NM_005912.3	4160	996	0.4588
ENSG00000139515	PDX1	ENST00000381033.5	NM_000209.4	3651	849	0.7091
ENSG00000172915	NBEA	ENST00000379939.7	NM_001385012.1	26960	8901	0.4293
ENSG00000101542	CDH20	ENST00000262717.9	NM_031891.4	28316	2403	0.536
ENSG00000141428	RMP24	ENST00000592875.6	NM_031446.5	83608	660	0.4379
ENSG00000141424	SLC39A6	ENST00000269187.10	NM_012319.4	25800	2265	0.4349
ENSG00000102678	FGF9	ENST00000382353.6	NM_002010.3	2254	624	0.4904
ENSG00000166573	GALR1	ENST00000299727.5	NM_001480.4	2587	1047	0.5855
ENSG00000283979	RFLNB	ENST00000640199.4	NM_182705.3	359845	642	0.6776
ENSG00000153531	ADPRHL1	ENST00000612156.3	NM_001394807.1	113622	5901	0.6302
ENSG00000197971	MBP	ENST00000355994.7	NM_001025101.2	4155	912	0.5779
ENSG00000237378	LOC112267897	ENST00000611641.1	NM_001395920.1	112267897	387	0.5478
ENSG00000132958	TPTE2	ENST00000697147.1	NM_001395978.1	93492	1566	0.3691
ENSG00000120659	TNFSF11	ENST00000398795.7	NM_003701.4	8600	951	0.4879
ENSG00000253710	ALG11	ENST00000521508.2	NM_001004127.3	440138	1476	0.4038
ENSG00000173988	LRRC63	ENST00000595396.3	NM_001282460.2	220416	1761	0.3532
ENSG00000285566	LOC647264	ENST00000648713.2	NM_001370368.2	647264	327	0.5505
ENSG00000280165	PCDH20	ENST00000409204.5	NM_022843.4	64881	2853	0.4865
ENSG00000132972	RNF17	ENST00000255324.10	NM_031277.3	56163	4869	0.3855
ENSG00000102471	NDFIP2	ENST00000218652.12	NM_019080.3	54602	1008	0.5218
ENSG00000175065	DSG4	ENST00000308128.9	NM_177986.5	147409	3120	0.4468
ENSG00000186009	ATP4B	ENST00000335288.5	NM_000705.4	496	873	0.5739
ENSG00000186047	DLEU7	ENST00000504404.2	NM_001306135.2	220107	663	0.644
ENSG00000139737	SLAIN1	ENST00000418532.6	NM_001242868.2	122060	1770	0.5701
ENSG00000176624	MEX3C	ENST00000406189.4	NM_016626.5	51320	1977	0.5857
ENSG00000119547	ONECUT2	ENST00000491143.3	NM_004852.3	9480	1512	0.662
ENSG00000173482	PTPRM	ENST00000580170.6	NM_001105244.2	5797	4395	0.4937
ENSG00000133116	KL	ENST00000380099.4	NM_004795.4	9365	3036	0.5382
ENSG00000136099	PCDH8	ENST00000377942.7	NM_002590.4	5100	3210	0.6903
ENSG00000276644	DACH1	ENST00000613252.5	NM_080759.6	1602	2118	0.5581
ENSG00000083635	NUFIP1	ENST00000379161.5	NM_012345.3	26747	1485	0.4606
ENSG00000154856	APCDD1	ENST00000355285.10	NM_153000.5	147495	1542	0.5986
ENSG00000180332	KCTD4	ENST00000379108.2	NM_198404.3	386618	777	0.4041
ENSG00000151846	PABPC3	ENST00000281589.5	NM_030979.3	5042	1893	0.4696
ENSG00000165566	AMER2	ENST00000515384.2	NM_152704.4	219287	2013	0.6667
ENSG00000120669	SOHLH2	ENST00000379881.8	NM_017826.3	54937	1275	0.4431
ENSG00000171791	BCL2	ENST00000333681.5	NM_000633.3	596	717	0.6597
ENSG00000181626	ANKRD62	ENST00000587848.3	NM_001277333.2	342850	2751	0.3908
ENSG00000242715	CCDC169	ENST00000239859.8	NM_001144981.3	728591	642	0.3988
ENSG00000292252	OR5AL1	ENST00000710330.1	NM_001348230.2	79482	987	0.3799
ENSG00000176194	CIDEA	ENST00000320477.10	NM_001279.4	1149	657	0.5845
ENSG00000134762	DSC3	ENST00000360428.9	NM_001941.5	1825	2688	0.4237
ENSG00000134765	DSC1	ENST00000257198.6	NM_024421.2	1823	2682	0.4183
ENSG00000102794	ACOD1	ENST00000377462.6	NM_001258406.2	730249	1443	0.5024
ENSG00000183098	GPC6	ENST00000377047.9	NM_005708.5	10082	1665	0.5189
ENSG00000134760	DSG1	ENST00000257192.5	NM_001942.4	1828	3147	0.4328
ENSG00000080166	DCT	ENST00000377028.10	NM_001922.5	1638	1557	0.4952
ENSG00000154611	PSMA8	ENST00000415576.7	NM_001025096.2	143471	750	0.404
ENSG00000125285	SOX21	ENST00000376945.4	NM_007084.4	11166	828	0.7271
ENSG00000185352	HS6ST3	ENST00000376705.4	NM_153456.4	266722	1413	0.6079
ENSG00000131196	NFATC1	ENST00000427363.7	NM_001278669.2	4772	2829	0.6511
ENSG00000198033	TUBA3C	ENST00000400113.8	NM_006001.3	7278	1350	0.5807
ENSG00000179399	GPC5	ENST00000377067.9	NM_004466.6	2262	1716	0.4831
ENSG00000183463	URAD	ENST00000332715.6	NM_001105577.2	646625	519	0.6551
ENSG00000205863	C1QTNF9B	ENST00000713589.1	NM_001007537.3	387911	999	0.5415
ENSG00000288716	LOC127898562	ENST00000684204.1	NM_001414702.1	127898562	81	0.679
ENSG00000139618	BRCA2	ENST00000380152.8	NM_000059.4	675	10254	0.3574
ENSG00000153487	ING1	ENST00000333219.9	NM_198219.3	3621	837	0.6153
ENSG00000139797	RNF113B	ENST00000267291.7	NM_178861.5	140432	966	0.6211
ENSG00000053747	LAMA3	ENST00000313654.14	NM_198129.4	3909	9999	0.5094
ENSG00000283199	C13orf46	ENST00000636427.3	NM_001365455.2	100507747	636	0.5833
ENSG00000226792	C13orf42	ENST00000563710.7	NM_001351589.3	647166	975	0.5518
ENSG00000261936	TAS2R45	ENST00000571573.2	NM_176886.2	259291	897	0.3969
ENSG00000141404	GNAL	ENST00000334049.11	NM_182978.4	2774	1374	0.5364
ENSG00000141434	MEP1B	ENST00000269202.11	NM_005925.3	4225	2103	0.4375
ENSG00000167210	LOXHD1	ENST00000642948.1	NM_001384474.1	125336	6819	0.5449
ENSG00000197641	SERPINB13	ENST00000344731.10	NM_012397.4	5275	1173	0.4459
ENSG00000206073	SERPINB4	ENST00000341074.10	NM_002974.4	6318	1170	0.4103
ENSG00000206072	SERPINB11	ENST00000544088.6	NM_001370475.1	89778	1176	0.4286
ENSG00000291983	CASP12	ENST00000709446.2	NM_001191016.3	100506742	1023	0.4213
ENSG00000178690	DYNAP	ENST00000648945.2	NM_173629.3	284254	552	0.4438
ENSG00000187773	DIPK1C	ENST00000343998.8	NM_001044369.3	125704	1257	0.6428
ENSG00000206043	C18orf63	ENST00000579455.2	NM_001174123.2	644041	2055	0.3849
ENSG00000166634	SERPINB12	ENST00000382768.2	NM_001307928.2	89777	1275	0.4447
ENSG00000141391	PRELID3A	ENST00000440960.6	NM_001142405.2	10650	516	0.531
ENSG00000206418	RAB12	ENST00000649141.2	NM_001025300.3	201475	1020	0.6059
ENSG00000206181	ELOA2	ENST00000332567.6	NM_016427.3	51224	2259	0.5945
ENSG00000141759	TXNL4A	ENST00000269601.10	NM_006701.5	10907	426	0.5282
ENSG00000101546	RBFA	ENST00000306735.10	NM_024805.3	79863	1029	0.5637
ENSG00000178184	PARD6G	ENST00000353265.8	NM_032510.4	84552	1128	0.6613
ENSG00000091157	WDR7	ENST00000254442.8	NM_015285.3	23335	4470	0.4635
ENSG00000292232	ZNF598	ENST00000710288.1	NM_178167.5	90850	2712	0.6674
ENSG00000177143	CETN1	ENST00000327228.5	NM_004066.3	1068	516	0.5523
ENSG00000206422	LRRC30	ENST00000383467.3	NM_001105581.3	339291	903	0.5825
ENSG00000183206	POTEC	ENST00000358970.10	NM_001137671.2	388468	1626	0.4471
ENSG00000292233	MROH8	ENST00000710289.2	NM_152503.8	140699	3156	0.4956
ENSG00000168454	TXNDC2	ENST00000357775.6	NM_032243.6	84203	1458	0.5576
ENSG00000154864	PIEZO2	ENST00000674853.1	NM_001378183.1	63895	8595	0.4709
ENSG00000166960	CCDC178	ENST00000383096.8	NM_001105528.4	374864	2601	0.3579
ENSG00000281518	FOXO6	ENST00000643531.4	NM_001291281.3	100132074	1677	0.7466
ENSG00000176136	MC5R	ENST00000589410.2	NM_005913.3	4161	975	0.5323
