systematic_name	common_name	ensembl_transcript	cds_length	gc_content
ENSMUSG00000103919	Gm21366	ENSMUST00000192892	666	0.3634
ENSMUSG00000093868	Gm20809	ENSMUST00000187943	681	0.4626
ENSMUSG00000093918	Rbmyf5	ENSMUST00000189592	1140	0.4202
ENSMUSG00000094511	Rbmyf6	ENSMUST00000186047	1140	0.4193
ENSMUSG00000093987	Rbmyf7	ENSMUST00000187277	1140	0.4202
ENSMUSG00000095948	Rbmyf8	ENSMUST00000190283	1140	0.4193
ENSMUSG00000096520	Rbmyf9	ENSMUST00000186140	1140	0.4219
ENSMUSG00000093927	Gm20918	ENSMUST00000188637	681	0.4655
ENSMUSG00000095148	Gm20873	ENSMUST00000187857	696	0.4583
ENSMUSG00000096686	Gm20830	ENSMUST00000190426	681	0.4552
ENSMUSG00000100939	Gm28998	ENSMUST00000186194	666	0.3694
ENSMUSG00000094081	Gm20826	ENSMUST00000185348	681	0.4552
ENSMUSG00000100645	Gm28576	ENSMUST00000189007	666	0.3694
ENSMUSG00000099861	Gm29049	ENSMUST00000185705	681	0.4611
ENSMUSG00000095324	Gm20825	ENSMUST00000178149	681	0.4626
ENSMUSG00000101928	Gm20824	ENSMUST00000186739	666	0.3619
ENSMUSG00000101053	Gm20815	ENSMUST00000115496	681	0.4684
ENSMUSG00000095032	Gm21310	ENSMUST00000189630	696	0.4569
ENSMUSG00000095242	Gm20834	ENSMUST00000185576	681	0.4523
ENSMUSG00000094838	Gm20828	ENSMUST00000190516	684	0.4503
ENSMUSG00000095172	Gm20822	ENSMUST00000188422	684	0.4503
ENSMUSG00000094294	Gm20909	ENSMUST00000181205	681	0.464
ENSMUSG00000093848	Gm20865	ENSMUST00000181163	681	0.4611
ENSMUSG00000053211	Zfy1	ENSMUST00000189888	2346	0.3917
ENSMUSG00000069053	Uba1y	ENSMUST00000190013	3174	0.5022
ENSMUSG00000056673	Kdm5d	ENSMUST00000055032	4644	0.4634
ENSMUSG00000069049	Eif2s3y	ENSMUST00000091197	1416	0.4124
ENSMUSG00000068457	Uty	ENSMUST00000069309	3636	0.3922
ENSMUSG00000069045	Ddx3y	ENSMUST00000091190	1974	0.4291
ENSMUSG00000069044	Usp9y	ENSMUST00000091188	7668	0.3769
ENSMUSG00000000103	Zfy2	ENSMUST00000187148	2331	0.393
ENSMUSG00000094881	H2al2c	ENSMUST00000163651	333	0.4985
ENSMUSG00000069036	Sry	ENSMUST00000091178	1185	0.5519
ENSMUSG00000095573	H2al2b	ENSMUST00000168551	333	0.4985
ENSMUSG00000102053	Rbmyf1	ENSMUST00000187482	1140	0.4202
ENSMUSG00000094658	Rbmy	ENSMUST00000171534	1140	0.4193
ENSMUSG00000095852	Rbmyf2	ENSMUST00000189964	1140	0.4202
ENSMUSG00000091987	Rbmyf3	ENSMUST00000187842	1140	0.4202
ENSMUSG00000095365	Rbm31y	ENSMUST00000179408	1695	0.4189
ENSMUSG00000102739	Gm20772	ENSMUST00000188928	696	0.454
ENSMUSG00000094325	Gm20831	ENSMUST00000177639	696	0.4583
ENSMUSG00000095267	Ssty1	ENSMUST00000186035	696	0.454
ENSMUSG00000095520	Gm20877	ENSMUST00000191358	681	0.4508
ENSMUSG00000104267	Gm20807	ENSMUST00000194687	696	0.4598
ENSMUSG00000103468	Gm21440	ENSMUST00000192749	696	0.4583
ENSMUSG00000093903	Gm21454	ENSMUST00000178599	696	0.454
ENSMUSG00000121543	Gm57885	ENSMUST00000249191	16233	0.4621
ENSMUSG00000121557	Gm57894	ENSMUST00000249208	13935	0.4609
ENSMUSG00000121556	Gm57895	ENSMUST00000249207	13938	0.4615
ENSMUSG00000101155	Sly	ENSMUST00000190292	666	0.3634
ENSMUSG00000096122	Gm21943	ENSMUST00000178181	681	0.464
ENSMUSG00000101399	Gm28961	ENSMUST00000190573	666	0.3589
ENSMUSG00000094052	Gm21118	ENSMUST00000187418	681	0.4626
ENSMUSG00000100231	Gm29554	ENSMUST00000187922	564	0.3617
ENSMUSG00000095508	Gm20812	ENSMUST00000189550	681	0.4508
ENSMUSG00000095606	Gm21258	ENSMUST00000191553	666	0.3619
ENSMUSG00000094570	Gm20931	ENSMUST00000187293	666	0.3634
ENSMUSG00000095867	Gm20917	ENSMUST00000188706	681	0.4655
ENSMUSG00000094746	Gm20916	ENSMUST00000185338	666	0.3634
ENSMUSG00000095793	Gm20855	ENSMUST00000186996	666	0.3634
ENSMUSG00000096650	Gm20896	ENSMUST00000188585	666	0.3634
ENSMUSG00000099531	Gm20869	ENSMUST00000188958	666	0.3634
ENSMUSG00000094660	Gm21394	ENSMUST00000189463	681	0.4684
ENSMUSG00000099840	Gm21409	ENSMUST00000186110	666	0.3619
ENSMUSG00000100485	Gm20920	ENSMUST00000187477	666	0.3649
ENSMUSG00000101158	Gm20894	ENSMUST00000188864	666	0.3634
ENSMUSG00000101286	Gm21317	ENSMUST00000185636	666	0.3634
ENSMUSG00000101933	Gm20835	ENSMUST00000185565	666	0.3634
ENSMUSG00000099894	Gm20911	ENSMUST00000187135	666	0.3619
ENSMUSG00000096769	Gm21117	ENSMUST00000185327	666	0.3619
ENSMUSG00000094616	Gm20888	ENSMUST00000186890	666	0.3604
ENSMUSG00000094647	Gm21650	ENSMUST00000190551	666	0.3619
ENSMUSG00000094821	Gm21518	ENSMUST00000186938	666	0.3619
ENSMUSG00000095979	Gm21209	ENSMUST00000189354	666	0.3619
ENSMUSG00000096902	Gm20843	ENSMUST00000191305	666	0.3619
ENSMUSG00000102045	Gm21294	ENSMUST00000186443	666	0.3589
ENSMUSG00000095153	Gm21095	ENSMUST00000185776	666	0.3649
ENSMUSG00000099541	Gm21488	ENSMUST00000188744	666	0.3634
ENSMUSG00000100055	Gm20890	ENSMUST00000189518	666	0.3634
ENSMUSG00000100708	Gm21173	ENSMUST00000189238	666	0.3634
ENSMUSG00000100726	Gm21497	ENSMUST00000189455	666	0.3619
ENSMUSG00000100972	Gm28553	ENSMUST00000185924	666	0.3619
ENSMUSG00000095578	Gm21760	ENSMUST00000187433	666	0.3604
ENSMUSG00000095135	Gm21858	ENSMUST00000185713	666	0.3634
ENSMUSG00000100667	Gm57478	ENSMUST00000188244	666	0.3619
ENSMUSG00000101653	Gm20792	ENSMUST00000189765	666	0.3619
ENSMUSG00000093895	Gm21865	ENSMUST00000191443	666	0.3664
ENSMUSG00000103371	Gm35134	ENSMUST00000194086	666	0.3679
ENSMUSG00000104191	Gm30737	ENSMUST00000192683	666	0.3679
ENSMUSG00000100608	Gm21996	ENSMUST00000188269	666	0.3649
ENSMUSG00000101915	Gm28102	ENSMUST00000187146	666	0.3634
ENSMUSG00000094789	Gm28490	ENSMUST00000190946	666	0.3604
ENSMUSG00000100467	Gm29582	ENSMUST00000185667	666	0.3604
ENSMUSG00000100338	Gm28870	ENSMUST00000187033	666	0.3604
ENSMUSG00000094181	Gm21739	ENSMUST00000188917	666	0.3619
ENSMUSG00000094782	Gm21256	ENSMUST00000188881	666	0.3619
ENSMUSG00000095011	Gm20838	ENSMUST00000187712	666	0.3619
ENSMUSG00000095141	Gm28891	ENSMUST00000189333	666	0.3619
ENSMUSG00000096178	Gm20837	ENSMUST00000178446	666	0.3619
ENSMUSG00000096626	Gm21861	ENSMUST00000190806	666	0.3619
ENSMUSG00000099740	Gm28897	ENSMUST00000185340	666	0.3619
ENSMUSG00000099792	Gm29564	ENSMUST00000185575	666	0.3604
ENSMUSG00000099925	Gm28827	ENSMUST00000187165	666	0.3619
ENSMUSG00000101528	Gm29110	ENSMUST00000189924	666	0.3619
ENSMUSG00000103528	Gm31571	ENSMUST00000192521	666	0.3619
ENSMUSG00000102668	Gm29866	ENSMUST00000191675	666	0.3619
ENSMUSG00000094813	Gm20777	ENSMUST00000187434	696	0.4555
ENSMUSG00000101396	Gm28510	ENSMUST00000190572	720	0.3542
ENSMUSG00000095950	Gm20737	ENSMUST00000187245	696	0.4555
ENSMUSG00000101243	Gm28919	ENSMUST00000190026	720	0.3542
ENSMUSG00000079806	Gm21719	ENSMUST00000189073	690	0.4406
ENSMUSG00000100634	Gm28171	ENSMUST00000190100	681	0.4581
ENSMUSG00000096036	Gm21778	ENSMUST00000185926	696	0.4511
ENSMUSG00000096706	Gm21854	ENSMUST00000190391	696	0.4511
ENSMUSG00000096268	Gm20914	ENSMUST00000188887	681	0.4655
ENSMUSG00000094773	Gm21812	ENSMUST00000188908	681	0.4655
ENSMUSG00000096223	Gm21874	ENSMUST00000190315	696	0.4526
ENSMUSG00000094556	Gm20821	ENSMUST00000179829	681	0.4611
ENSMUSG00000094484	Gm21244	ENSMUST00000189201	681	0.4552
ENSMUSG00000091077	Gm21292	ENSMUST00000190329	681	0.4655
ENSMUSG00000094679	Gm21721	ENSMUST00000189253	681	0.4626
ENSMUSG00000096820	Gm21425	ENSMUST00000195626	696	0.454
ENSMUSG00000095900	Gm20773	ENSMUST00000193306	696	0.454
ENSMUSG00000095452	Gm20795	ENSMUST00000190909	696	0.4555
ENSMUSG00000095263	Gm21094	ENSMUST00000189577	666	0.3619
ENSMUSG00000094399	Gm21477	ENSMUST00000189543	666	0.3634
ENSMUSG00000047161	Chst9	ENSMUST00000053017	1239	0.4124
ENSMUSG00000024304	Cdh2	ENSMUST00000025166	2718	0.496
ENSMUSG00000048799	Cep120	ENSMUST00000049811	2964	0.4983
ENSMUSG00000073563	Csnk1g3	ENSMUST00000237880	1344	0.4301
ENSMUSG00000059898	Dsc3	ENSMUST00000225110	2688	0.4487
ENSMUSG00000052713	Zfp608	ENSMUST00000064763	4533	0.5325
ENSMUSG00000001700	Gramd2b	ENSMUST00000237422	1335	0.4839
ENSMUSG00000024331	Dsc2	ENSMUST00000075214	2706	0.4627
ENSMUSG00000044322	Dsc1	ENSMUST00000224432	2658	0.4537
ENSMUSG00000034774	Dsg1c	ENSMUST00000054128	2733	0.4402
ENSMUSG00000069441	Dsg1a	ENSMUST00000077146	3171	0.4617
ENSMUSG00000061928	Dsg1b	ENSMUST00000076737	3180	0.4635
ENSMUSG00000053644	Aldh7a1	ENSMUST00000066208	1617	0.5362
ENSMUSG00000001804	Dsg4	ENSMUST00000019426	3123	0.4774
ENSMUSG00000008301	Phax	ENSMUST00000008445	1155	0.49
ENSMUSG00000032900	Spmip10	ENSMUST00000035640	423	0.5177
ENSMUSG00000024590	Lmnb1	ENSMUST00000025486	1764	0.5624
ENSMUSG00000033863	Klf9	ENSMUST00000036884	732	0.5915
ENSMUSG00000032656	Marchf3	ENSMUST00000035278	759	0.552
ENSMUSG00000025075	Habp2	ENSMUST00000078284	1662	0.5397
ENSMUSG00000056632	Dsg3	ENSMUST00000070892	2979	0.478
ENSMUSG00000024592	C330018D20Rik	ENSMUST00000025488	345	0.4464
ENSMUSG00000024943	Smc5	ENSMUST00000087556	3303	0.4275
ENSMUSG00000044393	Dsg2	ENSMUST00000059787	3366	0.5095
ENSMUSG00000061808	Ttr	ENSMUST00000075312	441	0.551
ENSMUSG00000056124	B4galt6	ENSMUST00000070080	1146	0.4756
ENSMUSG00000024593	Megf10	ENSMUST00000075770	3441	0.5554
ENSMUSG00000033207	Mamdc2	ENSMUST00000036069	2058	0.4995
ENSMUSG00000033382	Trappc8	ENSMUST00000225661	4311	0.4437
ENSMUSG00000033053	Cfap95	ENSMUST00000035849	684	0.4751
ENSMUSG00000074925	Ptar1	ENSMUST00000237333	1272	0.5055
ENSMUSG00000024897	Apba1	ENSMUST00000025830	2526	0.6128
ENSMUSG00000033107	Rnf125	ENSMUST00000234316	699	0.5093
ENSMUSG00000024317	Rnf138	ENSMUST00000234107	735	0.4136
ENSMUSG00000071604	Entrep1	ENSMUST00000096164	1788	0.5945
ENSMUSG00000024812	Tjp2	ENSMUST00000233027	3570	0.5605
ENSMUSG00000024313	Mep1b	ENSMUST00000082235	2112	0.4683
ENSMUSG00000042680	Garem1	ENSMUST00000049260	2628	0.5415
ENSMUSG00000024598	Fbn2	ENSMUST00000025497	8721	0.5426
ENSMUSG00000059363	Fxn	ENSMUST00000081333	621	0.5813
ENSMUSG00000024867	Pip5k1b	ENSMUST00000025800	1617	0.4842
ENSMUSG00000042514	Klhl14	ENSMUST00000122333	1890	0.5614
ENSMUSG00000074922	Pabir1	ENSMUST00000099556	852	0.5951
ENSMUSG00000048572	Tmem252	ENSMUST00000057243	549	0.5574
ENSMUSG00000041731	Pgm5	ENSMUST00000047666	1701	0.5414
ENSMUSG00000024600	Slc27a6	ENSMUST00000025500	1857	0.4755
ENSMUSG00000024601	Isoc1	ENSMUST00000025503	891	0.5847
ENSMUSG00000058927	Gm10053	ENSMUST00000073080	315	0.4603
ENSMUSG00000051490	Foxd4	ENSMUST00000058600	1332	0.6517
ENSMUSG00000053441	Adamts19	ENSMUST00000052907	3630	0.5275
ENSMUSG00000049134	Nrap	ENSMUST00000073536	5184	0.5374
ENSMUSG00000024306	Ccdc178	ENSMUST00000234736	2598	0.3976
ENSMUSG00000056380	Gpr50	ENSMUST00000070449	1773	0.529
ENSMUSG00000073257	Gm10488	ENSMUST00000101657	636	0.3836
ENSMUSG00000050875	Minar2	ENSMUST00000165666	579	0.4577
ENSMUSG00000073131	Vma21	ENSMUST00000114575	402	0.5299
ENSMUSG00000020607	Lratd1	ENSMUST00000020926	876	0.645
ENSMUSG00000073255	Gm14632	ENSMUST00000101654	636	0.3852
ENSMUSG00000058152	Chsy3	ENSMUST00000238155	2652	0.5456
ENSMUSG00000020601	Trib2	ENSMUST00000020922	1029	0.5355
ENSMUSG00000073555	Iigp1c	ENSMUST00000031549	1218	0.4179
ENSMUSG00000068606	Gm4841	ENSMUST00000090260	1251	0.4045
ENSMUSG00000041380	Htr2c	ENSMUST00000036303	1377	0.459
ENSMUSG00000041923	Nol4	ENSMUST00000164186	1911	0.5055
ENSMUSG00000071235	Vrtn	ENSMUST00000095551	2220	0.5779
ENSMUSG00000071234	Syndig1l	ENSMUST00000095550	711	0.6174
ENSMUSG00000091039	Krtap20-2	ENSMUST00000169954	180	0.55
ENSMUSG00000058368	Krtap21-1	ENSMUST00000078422	384	0.5339
ENSMUSG00000056537	Rlim	ENSMUST00000121153	1800	0.4683
ENSMUSG00000062433	Krtap6-2	ENSMUST00000082065	465	0.5419
ENSMUSG00000035142	Nubpl	ENSMUST00000040090	957	0.4828
ENSMUSG00000065968	Ifitm7	ENSMUST00000117803	423	0.5248
ENSMUSG00000059632	Krtap8-1	ENSMUST00000072280	183	0.5574
ENSMUSG00000056706	Krtap7-1	ENSMUST00000056118	261	0.5632
ENSMUSG00000091212	Krtap11-1	ENSMUST00000171542	549	0.561
ENSMUSG00000044117	Bmerb1	ENSMUST00000056521	609	0.5238
ENSMUSG00000021242	Npc2	ENSMUST00000021668	447	0.5369
ENSMUSG00000073130	Pasd1	ENSMUST00000154780	2274	0.4446
ENSMUSG00000024604	Rbm22	ENSMUST00000025506	1260	0.5254
ENSMUSG00000022820	Ndufb4	ENSMUST00000023514	387	0.5142
ENSMUSG00000021241	Isca2	ENSMUST00000021667	462	0.5519
ENSMUSG00000060657	Marf1	ENSMUST00000090300	5208	0.4733
ENSMUSG00000094759	Gm10487	ENSMUST00000180344	636	0.3852
ENSMUSG00000035133	Arhgap5	ENSMUST00000219443	4509	0.3726
ENSMUSG00000033361	Prrg3	ENSMUST00000048790	693	0.5411
ENSMUSG00000024302	Dtna	ENSMUST00000220904	2238	0.5134
ENSMUSG00000061603	Akap6	ENSMUST00000095737	6921	0.4989
ENSMUSG00000046449	Nexmif	ENSMUST00000087879	4545	0.4352
ENSMUSG00000053593	Fate1	ENSMUST00000066116	297	0.5253
ENSMUSG00000022816	Fstl1	ENSMUST00000114763	918	0.5185
ENSMUSG00000031289	Il13ra2	ENSMUST00000033646	1149	0.3742
ENSMUSG00000024878	Zng1	ENSMUST00000025815	1179	0.4207
ENSMUSG00000021010	Npas3	ENSMUST00000101432	2775	0.5787
ENSMUSG00000108763	Btnl12	ENSMUST00000205931	897	0.4916
ENSMUSG00000034158	Lrrc58	ENSMUST00000078717	1098	0.5783
ENSMUSG00000046961	Gpr156	ENSMUST00000061274	2394	0.5455
ENSMUSG00000005864	Cnga2	ENSMUST00000006020	1992	0.4854
ENSMUSG00000022812	Gsk3b	ENSMUST00000114750	1299	0.4888
ENSMUSG00000035105	Egln3	ENSMUST00000039516	717	0.5607
ENSMUSG00000025076	Casp7	ENSMUST00000026062	909	0.5347
ENSMUSG00000033343	Magea4	ENSMUST00000048675	945	0.4667
ENSMUSG00000002020	Ltbp2	ENSMUST00000002073	5427	0.5972
ENSMUSG00000031333	Abcb7	ENSMUST00000033695	2256	0.4468
ENSMUSG00000052085	Dock8	ENSMUST00000025831	6300	0.5219
ENSMUSG00000022678	Nde1	ENSMUST00000023359	1032	0.53
ENSMUSG00000073016	Uprt	ENSMUST00000087867	930	0.4849
ENSMUSG00000031340	Gabre	ENSMUST00000064780	2748	0.5717
ENSMUSG00000043453	Magea10	ENSMUST00000088481	975	0.4605
ENSMUSG00000033906	Zdhhc15	ENSMUST00000042070	1011	0.4768
ENSMUSG00000024277	Mapre2	ENSMUST00000025127	978	0.5051
ENSMUSG00000032702	Kank1	ENSMUST00000049400	4080	0.5507
ENSMUSG00000031224	Magee2	ENSMUST00000033575	1569	0.5061
ENSMUSG00000031343	Gabra3	ENSMUST00000114554	1599	0.4522
ENSMUSG00000002489	Tiam1	ENSMUST00000163370	4773	0.5596
ENSMUSG00000024837	Dmrt1	ENSMUST00000025755	1122	0.6176
ENSMUSG00000017843	Ppp2r5c	ENSMUST00000084985	1572	0.4809
ENSMUSG00000042372	Dmrt3	ENSMUST00000048935	1428	0.6373
ENSMUSG00000073247	Gm10486	ENSMUST00000101647	636	0.3852
ENSMUSG00000048138	Dmrt2	ENSMUST00000053068	1683	0.5639
ENSMUSG00000024276	Zfp397	ENSMUST00000060762	1581	0.42
ENSMUSG00000063281	Zfp35	ENSMUST00000074941	1740	0.4362
ENSMUSG00000025078	Nhlrc2	ENSMUST00000071423	2175	0.5255
ENSMUSG00000051469	Zfp24	ENSMUST00000066497	1104	0.49
ENSMUSG00000068114	Ccdc134	ENSMUST00000089174	687	0.5488
ENSMUSG00000047989	Ino80c	ENSMUST00000055012	693	0.5209
ENSMUSG00000035283	Adrb1	ENSMUST00000038949	1398	0.6867
ENSMUSG00000035173	Ccdc186	ENSMUST00000118592	2751	0.4366
ENSMUSG00000073245	Gm14819	ENSMUST00000101645	636	0.3852
ENSMUSG00000000420	Galnt1	ENSMUST00000000430	1677	0.4407
ENSMUSG00000022155	Mroh2b	ENSMUST00000045736	4743	0.4759
ENSMUSG00000031290	Lrch2	ENSMUST00000112819	2319	0.4467
ENSMUSG00000024855	Pacs1	ENSMUST00000025786	2883	0.5477
ENSMUSG00000042350	Arel1	ENSMUST00000043169	2469	0.4937
ENSMUSG00000022982	Sod1	ENSMUST00000023707	462	0.5195
ENSMUSG00000024273	2700062C07Rik	ENSMUST00000097646	651	0.4793
ENSMUSG00000022983	Scaf4	ENSMUST00000039280	3627	0.5365
ENSMUSG00000079105	C7	ENSMUST00000110689	2535	0.4694
ENSMUSG00000040446	Rprd1a	ENSMUST00000046206	936	0.4722
ENSMUSG00000041849	Card6	ENSMUST00000118365	3525	0.5126
ENSMUSG00000041841	Rpl37	ENSMUST00000045356	291	0.5498
ENSMUSG00000024619	Cdx1	ENSMUST00000025521	804	0.6853
ENSMUSG00000024269	Tpgs2	ENSMUST00000115817	888	0.4899
ENSMUSG00000050697	Prkaa1	ENSMUST00000051186	1677	0.4753
ENSMUSG00000024853	Sf3b2	ENSMUST00000025774	2634	0.555
ENSMUSG00000031226	Pbdc1	ENSMUST00000033577	594	0.4579
ENSMUSG00000033871	Ppargc1b	ENSMUST00000063307	3090	0.5964
ENSMUSG00000022463	Srebf2	ENSMUST00000023100	3390	0.587
ENSMUSG00000018707	Dync1h1	ENSMUST00000018851	13932	0.5353
ENSMUSG00000053414	Hunk	ENSMUST00000065856	2142	0.5584
ENSMUSG00000031227	Magee1	ENSMUST00000033578	2754	0.5599
ENSMUSG00000031230	Fgf16	ENSMUST00000033581	621	0.57
ENSMUSG00000094885	Ott	ENSMUST00000179348	1347	0.4506
ENSMUSG00000024268	Celf4	ENSMUST00000115816	1512	0.6012
ENSMUSG00000022978	Mis18a	ENSMUST00000099554	612	0.5654
ENSMUSG00000047658	Gal3st3	ENSMUST00000061169	1293	0.6357
ENSMUSG00000038498	Catsper1	ENSMUST00000043380	2058	0.518
ENSMUSG00000039956	Mrap	ENSMUST00000038197	381	0.5853
ENSMUSG00000022369	Mtbp	ENSMUST00000022998	2682	0.4694
ENSMUSG00000031229	Atrx	ENSMUST00000113573	7428	0.4091
ENSMUSG00000039929	Urb1	ENSMUST00000140920	6831	0.5355
ENSMUSG00000056508	1700001K19Rik	ENSMUST00000070659	657	0.5723
ENSMUSG00000024846	Cst6	ENSMUST00000025764	447	0.5839
ENSMUSG00000025081	Tdrd1	ENSMUST00000111606	3516	0.4895
ENSMUSG00000021243	Fcf1	ENSMUST00000021669	594	0.463
ENSMUSG00000021270	Hsp90aa1	ENSMUST00000094361	2199	0.4343
ENSMUSG00000018830	Myh11	ENSMUST00000231567	5937	0.5358
ENSMUSG00000096883	Shisa8	ENSMUST00000179269	1197	0.7034
ENSMUSG00000020593	Lpin1	ENSMUST00000238839	2919	0.5355
ENSMUSG00000060429	Sntb1	ENSMUST00000039769	1611	0.563
ENSMUSG00000033628	Pik3c3	ENSMUST00000115812	2661	0.4769
ENSMUSG00000022151	Ttc33	ENSMUST00000118193	786	0.5102
ENSMUSG00000052075	1700029F12Rik	ENSMUST00000091377	441	0.5465
ENSMUSG00000041353	Vcf2	ENSMUST00000059256	612	0.5735
ENSMUSG00000022367	Has2	ENSMUST00000050544	1656	0.4469
ENSMUSG00000033063	Cntnap3	ENSMUST00000091554	3861	0.4779
ENSMUSG00000039942	Ptger4	ENSMUST00000047379	1539	0.5809
ENSMUSG00000047094	Ofcc1	ENSMUST00000054635	2778	0.4726
ENSMUSG00000031232	Magt1	ENSMUST00000238718	1104	0.4647
ENSMUSG00000022366	Slc22a22	ENSMUST00000022995	1662	0.4079
ENSMUSG00000041817	Fam169a	ENSMUST00000169863	1995	0.4617
ENSMUSG00000024844	Banf1	ENSMUST00000025762	267	0.5506
ENSMUSG00000071757	Zhx2	ENSMUST00000096430	2508	0.5482
ENSMUSG00000024841	Eif1ad	ENSMUST00000025759	510	0.5157
ENSMUSG00000022365	Derl1	ENSMUST00000022993	753	0.5179
ENSMUSG00000025082	Vwa2	ENSMUST00000026068	2373	0.5984
ENSMUSG00000022364	Tbc1d31	ENSMUST00000022992	2988	0.4592
ENSMUSG00000057762	Plp2rt	ENSMUST00000071118	456	0.5088
ENSMUSG00000060739	Nsa2	ENSMUST00000073456	780	0.45
ENSMUSG00000022677	Cep20	ENSMUST00000023357	522	0.454
ENSMUSG00000057455	Rit2	ENSMUST00000153060	651	0.4977
ENSMUSG00000021359	Tfap2a	ENSMUST00000225180	1398	0.578
ENSMUSG00000031231	Cox7b	ENSMUST00000033582	240	0.475
ENSMUSG00000024578	Il17b	ENSMUST00000025471	540	0.6167
ENSMUSG00000025269	Apex2	ENSMUST00000112721	1569	0.5437
ENSMUSG00000039903	Eva1c	ENSMUST00000099548	1338	0.5179
ENSMUSG00000024579	Pcyox1l	ENSMUST00000025472	1485	0.596
ENSMUSG00000039148	Sart1	ENSMUST00000044207	2418	0.5939
ENSMUSG00000024580	Grpel2	ENSMUST00000062991	672	0.5446
ENSMUSG00000033032	Afap1l1	ENSMUST00000120472	2304	0.5803
